i	j	q	a
0	1	109	0
0	2	112	0
0	3	113	0
0	4	112	0
0	5	109	0
0	6	108	1
0	7	113	1
0	8	114	0
0	9	112	0
0	10	113	0
0	11	110	1
0	12	110	1
0	13	88	1
0	14	114	0
0	15	113	1
0	16	114	0
0	17	107	0
0	18	114	0
0	19	112	1
0	20	113	1
0	21	114	0
0	22	113	0
0	23	113	1
0	24	112	0
0	25	114	0
0	26	87	1
0	27	108	1
0	28	112	0
0	29	112	0
0	30	105	1
0	31	112	0
0	32	92	0
0	33	88	1
0	34	114	0
0	35	113	1
0	36	113	1
0	37	113	1
0	38	89	0
0	39	114	0
0	40	114	0
0	41	113	1
0	42	112	1
0	43	58	1
0	44	113	1
0	45	113	1
0	46	112	0
0	47	114	0
0	48	113	1
0	49	112	1
0	50	114	0
0	51	113	1
0	52	114	0
0	53	111	0
0	54	89	0
0	55	113	1
0	56	112	0
0	57	114	0
0	58	104	0
0	59	114	0
0	60	90	0
0	61	66	1
0	62	107	1
0	63	114	0
0	64	112	0
0	65	109	1
0	66	113	1
0	67	114	0
0	68	113	1
0	69	114	0
0	70	114	0
0	71	114	0
0	72	111	1
0	73	113	0
0	74	113	0
0	75	107	1
0	76	113	1
0	77	114	0
0	78	113	1
0	79	114	0
0	80	114	1
0	81	109	1
0	82	113	1
0	83	113	0
0	84	113	1
0	85	113	1
0	86	113	1
0	87	100	1
0	88	113	1
0	89	113	0
0	90	108	0
0	91	110	1
0	92	113	0
0	93	111	0
0	94	113	1
0	95	114	0
0	96	113	1
0	97	114	0
0	98	113	0
0	99	112	0
0	100	111	1
0	101	114	0
0	102	113	1
0	103	114	0
0	104	83	0
0	105	112	0
0	106	90	0
0	107	113	0
0	108	113	1
0	109	112	0
0	110	113	1
0	111	113	0
0	112	113	0
0	113	112	0
0	114	113	1
0	115	113	1
0	116	113	1
0	117	113	1
0	118	109	1
0	119	113	0
0	120	113	1
0	121	114	0
0	122	114	0
0	123	114	0
0	124	113	0
0	125	113	1
0	126	108	1
0	127	113	1
0	128	111	1
0	129	113	1
0	130	113	1
0	131	114	0
0	132	113	1
0	133	90	1
0	134	114	0
0	135	88	1
0	136	112	1
0	137	113	1
0	138	113	1
0	139	114	0
0	140	113	1
0	141	90	0
0	142	84	0
0	143	113	0
0	144	113	1
0	145	113	0
0	146	113	1
0	147	112	0
0	148	111	1
0	149	114	0
0	150	113	1
0	151	114	0
0	152	113	1
0	153	89	0
0	154	113	1
0	155	112	0
0	156	112	0
0	157	113	1
0	158	99	0
0	159	102	0
0	160	113	0
0	161	114	0
0	162	113	1
0	163	112	1
0	164	109	1
0	165	113	1
0	166	113	1
0	167	113	0
0	168	111	0
0	169	113	1
0	170	113	1
0	171	112	0
0	172	114	0
0	173	112	1
0	174	114	0
0	175	111	0
0	176	112	1
0	177	113	1
0	178	114	0
0	179	105	0
0	180	113	0
0	181	113	1
0	182	113	1
0	183	113	0
0	184	111	1
0	185	92	1
0	186	113	1
0	187	113	1
0	188	113	1
0	189	109	1
0	190	114	0
0	191	92	1
0	192	113	1
0	193	113	0
0	194	113	0
0	195	114	0
0	196	112	0
0	197	113	1
0	198	112	1
0	199	113	0
0	200	113	0
0	201	107	0
0	202	113	1
0	203	100	0
0	204	89	0
0	205	107	1
0	206	113	1
0	207	113	0
0	208	111	1
0	209	114	0
0	210	101	1
0	211	90	1
0	212	114	0
0	213	111	1
0	214	88	0
0	215	114	0
0	216	113	1
0	217	112	0
0	218	113	1
0	219	112	1
0	220	108	0
0	221	113	1
0	222	113	1
0	223	113	1
0	224	76	0
0	225	110	1
0	226	113	1
0	227	92	0
0	228	113	1
0	229	113	1
0	230	110	1
0	231	107	0
0	232	114	0
0	233	113	1
0	234	112	0
0	235	114	0
0	236	106	0
0	237	112	1
0	238	114	0
0	239	113	1
0	240	113	1
0	241	113	0
0	242	114	0
0	243	111	1
0	244	113	0
0	245	58	1
0	246	112	1
0	247	113	1
0	248	114	0
0	249	89	0
0	250	113	1
0	251	113	0
0	252	114	0
0	253	92	1
0	254	114	0
0	255	108	0
0	256	111	1
0	257	113	1
0	258	113	1
0	259	112	0
0	260	109	0
0	261	107	1
0	262	112	0
0	263	108	0
0	264	113	0
0	265	112	0
0	266	112	0
0	267	111	0
0	268	112	0
0	269	111	0
0	270	114	0
0	271	114	0
0	272	109	0
0	273	102	0
0	274	113	0
0	275	113	0
0	276	114	0
0	277	105	0
0	278	109	1
0	279	113	1
0	280	111	1
0	281	113	1
0	282	106	0
0	283	113	0
0	284	114	0
0	285	113	1
0	286	97	1
0	287	113	0
0	288	113	1
0	289	113	1
0	290	108	0
0	291	84	0
0	292	97	1
0	293	65	0
0	294	112	0
0	295	104	0
0	296	107	0
0	297	111	1
0	298	113	0
0	299	112	0
0	300	113	0
0	301	112	0
0	302	65	0
0	303	113	0
0	304	113	1
0	305	89	0
0	306	112	1
0	307	108	1
0	308	113	1
0	309	112	0
0	310	113	0
0	311	113	1
0	312	103	0
0	313	113	1
0	314	113	0
0	315	113	1
0	316	91	1
0	317	114	0
0	318	107	1
0	319	114	0
0	320	111	0
0	321	112	0
0	322	113	0
0	323	114	0
0	324	114	0
0	325	113	0
0	326	112	1
0	327	112	1
0	328	107	1
0	329	113	1
0	330	113	1
0	331	112	0
0	332	113	0
0	333	114	0
0	334	111	1
0	335	111	0
0	336	113	1
0	337	113	0
0	338	111	1
0	339	114	0
0	340	112	1
0	341	113	0
0	342	113	1
0	343	102	0
0	344	111	1
0	345	90	1
0	346	107	0
0	347	112	0
0	348	112	1
0	349	107	0
0	350	112	1
0	351	109	0
0	352	114	0
0	353	107	1
0	354	113	1
0	355	114	0
0	356	112	1
0	357	113	1
0	358	113	1
0	359	114	0
0	360	113	1
0	361	113	0
0	362	114	0
0	363	65	1
0	364	113	1
0	365	114	0
0	366	113	0
0	367	107	0
0	368	113	1
0	369	113	0
0	370	114	0
0	371	107	0
0	372	113	1
0	373	113	0
0	374	113	1
0	375	113	0
0	376	113	1
0	377	87	1
0	378	114	1
0	379	114	1
0	380	113	1
0	381	114	0
0	382	86	1
0	383	114	0
0	384	113	1
0	385	111	0
