Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1164 0.0000 0.0000 0.0000 0.0000 0.0000
1 1164 0.0000 0.0000 0.0000 0.0000 0.0000
2 1164 0.0050 0.4546 0.0011 0.0038 0.0015
0 1165 0.0000 0.0000 0.0000 0.0000 0.0000
1 1165 0.0000 0.0000 0.0000 0.0000 0.0000
2 1165 0.0160 0.4679 0.0064 0.0152 0.0056
0 1166 0.0000 0.0000 0.0000 0.0000 0.0000
1 1166 0.0000 0.0000 0.0000 0.0000 0.0000
2 1166 0.0000 0.4289 0.0000 0.0000 0.0000
0 1167 0.0000 0.0000 0.0000 0.0000 0.0000
1 1167 0.0000 0.0000 0.0000 0.0000 0.0000
2 1167 0.0350 0.4785 0.0179 0.0362 0.0165
0 1168 0.0000 0.0000 0.0000 0.0000 0.0000
1 1168 0.0000 0.0000 0.0000 0.0000 0.0000
2 1168 0.0000 0.3731 0.0000 0.0000 0.0000
