Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 909 0.0000 0.3155 0.0000 0.0000 0.0000
1 909 0.0000 0.3861 0.0000 0.0000 0.0000
2 909 0.0000 0.0000 0.0000 0.0000 0.0000
0 910 0.0000 0.4556 0.0000 0.0000 0.0000
1 910 0.0020 0.4799 0.0006 0.0165 0.0011
2 910 0.0000 0.0000 0.0000 0.0000 0.0000
0 911 0.0000 0.4042 0.0000 0.0000 0.0000
1 911 0.0000 0.3945 0.0000 0.0000 0.0000
2 911 0.0000 0.0000 0.0000 0.0000 0.0000
0 912 0.0000 0.4329 0.0000 0.0000 0.0000
1 912 0.0000 0.3997 0.0000 0.0000 0.0000
2 912 0.0000 0.0000 0.0000 0.0000 0.0000
0 913 0.0000 0.4389 0.0000 0.0000 0.0000
1 913 0.0000 0.4335 0.0000 0.0000 0.0000
2 913 0.0000 0.0000 0.0000 0.0000 0.0000
