Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 874 0.2700 0.4903 0.2587 0.3159 0.0675
1 874 0.0000 0.4436 0.0003 0.0041 0.0002
2 874 0.0000 0.0000 0.0000 0.0000 0.0000
0 875 0.0000 0.4504 0.0000 0.0000 0.0000
1 875 0.0000 0.4619 0.0000 0.0001 0.0000
2 875 0.0000 0.0000 0.0000 0.0000 0.0000
0 876 0.0000 0.4489 0.0000 0.0000 0.0000
1 876 0.0000 0.4582 0.0000 0.0000 0.0000
2 876 0.0000 0.0000 0.0000 0.0000 0.0000
0 877 0.0000 0.4156 0.0000 0.0000 0.0000
1 877 0.0000 0.3730 0.0000 0.0000 0.0000
2 877 0.0000 0.0000 0.0000 0.0000 0.0000
0 878 0.0000 0.0000 0.0000 0.0000 0.0000
1 878 0.0000 0.0000 0.0000 0.0000 0.0000
2 878 0.0000 0.0000 0.0000 0.0000 0.0000
