Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1064 0.0000 0.0000 0.0000 0.0000 0.0000
1 1064 0.0000 0.0000 0.0000 0.0000 0.0000
2 1064 0.0000 0.4281 0.0000 0.0000 0.0000
0 1065 0.0000 0.0000 0.0000 0.0000 0.0000
1 1065 0.0000 0.0000 0.0000 0.0000 0.0000
2 1065 0.0000 0.4451 0.0000 0.0000 0.0000
0 1066 0.0000 0.0000 0.0000 0.0000 0.0000
1 1066 0.0000 0.0000 0.0000 0.0000 0.0000
2 1066 0.0000 0.4553 0.0000 0.0000 0.0000
0 1067 0.0000 0.0000 0.0000 0.0000 0.0000
1 1067 0.0000 0.0000 0.0000 0.0000 0.0000
2 1067 0.0000 0.4493 0.0000 0.0000 0.0000
0 1068 0.0000 0.0000 0.0000 0.0000 0.0000
1 1068 0.0000 0.0000 0.0000 0.0000 0.0000
2 1068 0.0000 0.4100 0.0000 0.0000 0.0000
