Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 904 0.0000 0.4486 0.0002 0.0061 0.0003
1 904 0.0000 0.3497 0.0000 0.0000 0.0000
2 904 0.0000 0.0184 0.0000 0.0000 0.0000
0 905 0.0000 0.4289 0.0000 0.0000 0.0000
1 905 0.0000 0.4086 0.0000 0.0000 0.0000
2 905 0.0000 0.0000 0.0000 0.0000 0.0000
0 906 0.0000 0.4420 0.0000 0.0000 0.0000
1 906 0.0000 0.4199 0.0000 0.0000 0.0000
2 906 0.0000 0.0000 0.0000 0.0000 0.0000
0 907 0.0000 0.3926 0.0000 0.0000 0.0000
1 907 0.0000 0.3815 0.0000 0.0000 0.0000
2 907 0.0000 0.3605 0.0000 0.0000 0.0000
0 908 0.0000 0.4065 0.0000 0.0000 0.0000
1 908 0.0000 0.3934 0.0000 0.0000 0.0000
2 908 0.0000 0.1270 0.0000 0.0000 0.0000
