Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 764 0.0050 0.4503 0.0000 0.0042 0.0034
1 764 0.0040 0.4236 0.0000 0.0018 0.0022
2 764 0.0000 0.0000 0.0000 0.0000 0.0000
0 765 0.0240 0.4713 0.0078 0.0187 0.0087
1 765 0.1010 0.4845 0.0876 0.1161 0.0375
2 765 0.0000 0.0000 0.0000 0.0000 0.0000
0 766 0.4930 0.5015 0.4602 0.5029 0.1264
1 766 0.5370 0.5022 0.4931 0.5302 0.1116
2 766 0.0000 0.0000 0.0000 0.0000 0.0000
0 767 0.0020 0.4606 0.0004 0.0025 0.0011
1 767 0.0000 0.4449 0.0000 0.0001 0.0000
2 767 0.0000 0.0000 0.0000 0.0000 0.0000
0 768 0.9060 0.5172 0.8670 0.9060 0.0782
1 768 0.4660 0.5009 0.4510 0.4885 0.1100
2 768 0.0000 0.0000 0.0000 0.0000 0.0000
