Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 849 0.0000 0.3595 0.0000 0.0000 0.0000
1 849 0.0000 0.4052 0.0000 0.0000 0.0000
2 849 0.0000 0.0000 0.0000 0.0000 0.0000
0 850 0.0070 0.4455 0.0035 0.0153 0.0034
1 850 0.2950 0.4885 0.2669 0.3134 0.0531
2 850 0.0000 0.0000 0.0000 0.0000 0.0000
0 851 0.0000 0.4701 0.0000 0.0006 0.0001
1 851 0.0010 0.4773 0.0000 0.0014 0.0002
2 851 0.0000 0.0000 0.0000 0.0000 0.0000
0 852 0.0000 0.4329 0.0000 0.0006 0.0003
1 852 0.0010 0.4441 0.0003 0.0024 0.0004
2 852 0.0000 0.0000 0.0000 0.0000 0.0000
0 853 0.0000 0.4635 0.0000 0.0000 0.0000
1 853 0.0000 0.4641 0.0000 0.0000 0.0000
2 853 0.0000 0.0000 0.0000 0.0000 0.0000
