Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1184 0.0000 0.0000 0.0000 0.0000 0.0000
1 1184 0.0000 0.0000 0.0000 0.0000 0.0000
2 1184 0.1010 0.4850 0.0805 0.1120 0.0436
0 1185 0.0000 0.0000 0.0000 0.0000 0.0000
1 1185 0.0000 0.0000 0.0000 0.0000 0.0000
2 1185 0.1840 0.4887 0.1547 0.1896 0.0632
0 1186 0.0000 0.0000 0.0000 0.0000 0.0000
1 1186 0.0000 0.0000 0.0000 0.0000 0.0000
2 1186 0.8730 0.5186 0.8492 0.8784 0.0590
0 1187 0.0000 0.0000 0.0000 0.0000 0.0000
1 1187 0.0000 0.0000 0.0000 0.0000 0.0000
2 1187 0.1010 0.4859 0.0717 0.1044 0.0501
0 1188 0.0000 0.0000 0.0000 0.0000 0.0000
1 1188 0.0000 0.0000 0.0000 0.0000 0.0000
2 1188 0.0210 0.4710 0.0089 0.0197 0.0083
