Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1134 0.0000 0.0000 0.0000 0.0000 0.0000
1 1134 0.0000 0.0000 0.0000 0.0000 0.0000
2 1134 0.0000 0.4319 0.0000 0.0001 0.0000
0 1135 0.0000 0.0000 0.0000 0.0000 0.0000
1 1135 0.0000 0.0000 0.0000 0.0000 0.0000
2 1135 0.0000 0.4453 0.0000 0.0000 0.0000
0 1136 0.0000 0.0000 0.0000 0.0000 0.0000
1 1136 0.0000 0.0000 0.0000 0.0000 0.0000
2 1136 0.0940 0.4887 0.0671 0.1575 0.0531
0 1137 0.0000 0.0000 0.0000 0.0000 0.0000
1 1137 0.0000 0.0000 0.0000 0.0000 0.0000
2 1137 0.6340 0.5056 0.5861 0.5995 0.1059
0 1138 0.0000 0.0000 0.0000 0.0000 0.0000
1 1138 0.0000 0.0000 0.0000 0.0000 0.0000
2 1138 0.0010 0.4596 0.0000 0.0030 0.0004
