Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 854 0.0000 0.0000 0.0000 0.0000 0.0000
1 854 0.0000 0.0000 0.0000 0.0000 0.0000
2 854 0.0000 0.0000 0.0000 0.0000 0.0000
0 855 0.0040 0.4585 0.0020 0.0163 0.0022
1 855 0.0000 0.4330 0.0000 0.0004 0.0000
2 855 0.0000 0.0000 0.0000 0.0000 0.0000
0 856 0.0000 0.4535 0.0000 0.0000 0.0000
1 856 0.0000 0.4737 0.0000 0.0001 0.0000
2 856 0.0000 0.0000 0.0000 0.0000 0.0000
0 857 0.8490 0.5206 0.8118 0.7760 0.0607
1 857 0.7670 0.5154 0.7456 0.7205 0.0620
2 857 0.0000 0.0000 0.0000 0.0000 0.0000
0 858 0.7360 0.5057 0.6427 0.6569 0.2072
1 858 0.0000 0.4538 0.0000 0.0001 0.0000
2 858 0.0000 0.0000 0.0000 0.0000 0.0000
