Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 964 0.0000 0.0000 0.0000 0.0000 0.0000
1 964 0.0000 0.3312 0.0000 0.0000 0.0000
2 964 0.0000 0.4638 0.0000 0.0017 0.0000
0 965 0.0000 0.3798 0.0000 0.0000 0.0000
1 965 0.0000 0.3680 0.0000 0.0000 0.0000
2 965 0.0000 0.3359 0.0000 0.0000 0.0000
0 966 0.0000 0.4453 0.0000 0.0005 0.0000
1 966 0.0000 0.4213 0.0000 0.0000 0.0000
2 966 0.0010 0.4699 0.0005 0.0157 0.0018
0 967 0.0000 0.4254 0.0000 0.0000 0.0000
1 967 0.0000 0.3949 0.0000 0.0000 0.0000
2 967 0.0000 0.3475 0.0000 0.0000 0.0000
0 968 0.0000 0.4312 0.0000 0.0000 0.0000
1 968 0.0000 0.4351 0.0000 0.0000 0.0000
2 968 0.0000 0.0000 0.0000 0.0000 0.0000
