Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 899 0.0360 0.4785 0.0204 0.0870 0.0184
1 899 0.0010 0.4668 0.0008 0.0155 0.0013
2 899 0.0000 0.0000 0.0000 0.0000 0.0000
0 900 0.0000 0.4700 0.0000 0.0000 0.0000
1 900 0.0000 0.4704 0.0000 0.0020 0.0000
2 900 0.0000 0.0000 0.0000 0.0000 0.0000
0 901 0.0000 0.4497 0.0000 0.0000 0.0000
1 901 0.0000 0.4645 0.0000 0.0000 0.0000
2 901 0.0000 0.0000 0.0000 0.0000 0.0000
0 902 0.0000 0.0000 0.0000 0.0000 0.0000
1 902 0.0000 0.0000 0.0000 0.0000 0.0000
2 902 0.0000 0.0000 0.0000 0.0000 0.0000
0 903 0.0000 0.4637 0.0000 0.0017 0.0001
1 903 0.0000 0.4238 0.0000 0.0000 0.0000
2 903 0.0000 0.0000 0.0000 0.0000 0.0000
