Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1139 0.0000 0.0000 0.0000 0.0000 0.0000
1 1139 0.0000 0.0000 0.0000 0.0000 0.0000
2 1139 0.0070 0.4716 0.0022 0.0222 0.0031
0 1140 0.0000 0.0000 0.0000 0.0000 0.0000
1 1140 0.0000 0.0000 0.0000 0.0000 0.0000
2 1140 0.0030 0.4396 0.0008 0.0083 0.0006
0 1141 0.0000 0.0000 0.0000 0.0000 0.0000
1 1141 0.0000 0.0000 0.0000 0.0000 0.0000
2 1141 0.0000 0.4177 0.0000 0.0004 0.0001
0 1142 0.0000 0.0000 0.0000 0.0000 0.0000
1 1142 0.0000 0.0000 0.0000 0.0000 0.0000
2 1142 0.9900 0.5195 0.9652 0.9661 0.0345
0 1143 0.0000 0.0000 0.0000 0.0000 0.0000
1 1143 0.0000 0.0000 0.0000 0.0000 0.0000
2 1143 0.0000 0.3130 0.0000 0.0000 0.0000
