Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 1094 0.0000 0.0000 0.0000 0.0000 0.0000
1 1094 0.0000 0.0000 0.0000 0.0000 0.0000
2 1094 0.0800 0.4842 0.0524 0.1340 0.0359
0 1095 0.0000 0.0000 0.0000 0.0000 0.0000
1 1095 0.0000 0.0000 0.0000 0.0000 0.0000
2 1095 0.0000 0.4503 0.0001 0.0063 0.0003
0 1096 0.0000 0.0000 0.0000 0.0000 0.0000
1 1096 0.0000 0.0000 0.0000 0.0000 0.0000
2 1096 0.0000 0.4425 0.0000 0.0002 0.0000
0 1097 0.0000 0.0000 0.0000 0.0000 0.0000
1 1097 0.0000 0.0000 0.0000 0.0000 0.0000
2 1097 0.0000 0.0000 0.0000 0.0000 0.0000
0 1098 0.0000 0.0000 0.0000 0.0000 0.0000
1 1098 0.0000 0.0000 0.0000 0.0000 0.0000
2 1098 0.0000 0.4713 0.0000 0.0019 0.0000
