Individual Pos MC-PVal PA-Pval NA-PVal BA-PVal MCBN-PVal
0 829 0.9900 0.5333 0.9760 0.9685 0.0151
1 829 0.2840 0.4906 0.2453 0.3064 0.0671
2 829 0.0000 0.0000 0.0000 0.0000 0.0000
0 830 0.0000 0.4693 0.0000 0.0011 0.0000
1 830 0.0000 0.4735 0.0001 0.0120 0.0002
2 830 0.0000 0.0000 0.0000 0.0000 0.0000
0 831 0.0000 0.4283 0.0000 0.0021 0.0000
1 831 0.0000 0.4347 0.0000 0.0022 0.0000
2 831 0.0000 0.0000 0.0000 0.0000 0.0000
0 832 0.0000 0.4604 0.0000 0.0015 0.0000
1 832 0.0000 0.4512 0.0000 0.0003 0.0000
2 832 0.0000 0.0000 0.0000 0.0000 0.0000
0 833 0.1030 0.4873 0.0597 0.1717 0.0511
1 833 0.0000 0.4464 0.0000 0.0003 0.0000
2 833 0.0000 0.0000 0.0000 0.0000 0.0000
